--------------------------------------------------------------------------------Column Units Label  Explanations--------------------------------------------------------------------------------   1 -- ID Hi-GAL clump ID2 deg GLON Galactic Longitude (degrees)3 deg GLAT Galactic Latitude (degrees)4 K TEMP Dust temperature of the clump5 Lsun/Msun L/M Ratio between de Bolometric temperature and mass (in Lsun/Msun)6 gr/cm^2 SURF_DENS Surfece density7 -- EVOL_FLAG Flag for thd type os clump. (0) Starless unbound. (1) Prestellar bound. (2) Protostellar.--------------------------------------------------------------------------------
ID,GLON,GLAT,TEMP,L/M,SURF_DENS,EVOL_FLAG
179761,42.602398,0.017481,12.682,0.400791,0.0588188,1
179768,42.603713,-0.190704,18.202,3.50297,0.0305294,0
179779,42.606778,0.184258,16.834,2.19243,0.0139096,0
179783,42.607509,-0.368501,8.469,0.0344902,0.475286,1
179784,42.607560,-0.142551,12.983,3.26508,0.315412,2
179786,42.608561,0.313776,11.847,0.266341,0.0463325,1
179800,42.613934,0.140868,10.671,0.142209,0.0783865,1
179807,42.616519,-0.373188,9.243,0.0576193,0.556526,1
179819,42.620615,-0.135315,18.312,5.84102,0.0797398,2
179822,42.621314,0.039345,12.028,0.554604,0.156123,2
179824,42.622006,0.016339,15.417,1.29326,0.0218496,0
179827,42.622856,-0.365694,9.535,0.0703103,0.360153,1
179829,42.624026,-0.217427,11.204,0.190509,0.046018,1
179845,42.633495,-0.259682,9.595,0.0728543,0.386531,1
179862,42.639371,-0.202562,21.399,25.0671,0.386534,2
179863,42.639471,-0.472940,11.314,0.202075,0.0681157,1
179873,42.644375,-0.057724,11.556,0.229341,0.12671,1
179879,42.649272,-0.275697,14.401,0.859255,0.0388929,1
179892,42.654295,0.199528,12.682,0.4007,0.0637578,1
179904,42.658527,0.152443,19.981,12.4909,0.0198862,2
179914,42.662952,-0.047362,10.962,0.167141,0.140017,1
179917,42.663141,-0.352173,11.566,0.230631,0.0971966,1
179920,42.664671,0.154821,12.923,0.87547,0.191432,2
179924,42.666812,-0.093074,10.248,0.111611,0.0995293,1
179937,42.672392,-0.248152,10.138,0.104566,0.211556,1
179942,42.673484,-0.045987,9.836,0.0872322,0.129164,1
179943,42.673888,0.216806,14.341,2.0791,0.469666,2
179953,42.677057,0.239119,9.947,0.0932963,0.168316,1
179958,42.678056,-0.113583,12.450,0.502603,0.382914,2
179959,42.678730,-0.380731,12.088,0.300597,0.121146,1
179970,42.683018,0.211803,15.115,1.91736,0.400441,2
179976,42.686539,-0.113840,10.902,0.244461,1.17985,2
179989,42.692272,-0.128856,13.094,1.19826,0.47448,2
179993,42.693117,-0.105938,13.687,0.6005,0.32732,1
180005,42.698205,-0.147904,20.937,22.557,0.404887,2
180008,42.698592,-0.462305,9.836,0.087251,0.0685903,1
180011,42.700141,-0.386337,13.215,0.512953,0.0671884,1
180019,42.702453,0.006290,10.128,0.100777,0.343541,1
180022,42.703206,0.184969,9.062,0.0533466,0.203287,1
180042,42.708658,0.038760,13.396,0.556575,0.0619269,1
180043,42.708674,-0.042151,13.808,0.66756,0.153426,1
180045,42.708998,-0.284447,8.881,0.0472651,0.184672,1
180048,42.711829,-0.086319,9.957,0.165921,0.617309,2
180057,42.715684,-0.005816,9.776,0.0840797,0.121245,1
180061,42.718189,-0.105543,14.703,2.1894,0.39163,2
180074,42.722609,0.025525,12.561,0.378366,0.081572,1
180079,42.724724,-0.191103,12.028,0.291708,0.192809,1
180096,42.729962,-0.292483,11.797,0.259622,0.0954534,1
180097,42.730285,-0.066278,15.467,3.05822,0.048279,2
180101,42.731569,0.293781,11.676,0.244104,0.184533,1
180106,42.732824,-0.221341,14.049,0.740721,0.0851432,1
180126,42.738583,0.261763,14.230,0.799847,0.0307098,0
180132,42.740060,-0.399761,10.188,0.107726,0.167183,1
180141,42.743138,-0.025198,11.676,0.715607,0.279683,2
180165,42.749440,-0.015737,12.682,1.05569,0.115994,2
180172,42.753048,0.112690,11.676,0.244101,0.0861389,1
180179,42.755118,-0.118948,14.763,0.997255,0.047218,1
180182,42.757094,-0.200960,11.194,0.189485,0.266492,1
180185,42.757468,0.018070,17.126,2.43036,0.0327365,0
180187,42.758385,-0.187882,13.275,0.527163,0.131571,1
180195,42.760903,0.045109,9.535,0.0723703,0.18704,1
180196,42.761365,-0.214975,12.450,0.358815,0.102746,1
180204,42.764999,-0.043766,21.821,21.3348,0.0369007,2
180218,42.770066,-0.450442,10.017,0.0973282,0.178727,1
180219,42.770945,-0.135819,16.543,2.09572,0.0824911,2
180232,42.774900,0.000966,11.737,0.251768,0.143395,1
180249,42.783448,-0.037601,13.215,0.512948,0.0406801,1
180301,42.799544,0.390430,11.737,0.251767,0.0572448,1
180319,42.804720,-0.450776,11.968,0.283039,0.0906774,1
180326,42.806894,-0.104531,13.989,0.721778,0.0586427,1
180334,42.808594,-0.144919,10.017,0.0860495,1.47807,1
180349,42.814250,-0.344330,11.324,0.203154,0.160457,1
180355,42.816363,-0.103202,13.758,0.653134,0.132802,1
180378,42.822293,-0.146079,21.298,20.1303,0.0470685,2
180379,42.822728,-0.354618,10.128,0.103982,0.246141,1
180402,42.828435,-0.323404,11.847,0.266343,0.0836092,1
180409,42.829880,0.145732,10.017,0.0973335,0.139566,1
180414,42.831677,-0.020714,12.682,0.400695,0.0835624,1
180416,42.832111,0.257367,11.676,0.244046,0.0689891,1
180418,42.832370,-0.142918,24.255,71.8255,0.0872324,2
180419,42.832507,0.288406,13.627,0.616771,0.0623221,1
180429,42.835953,-0.193873,10.902,0.16171,0.176645,1
180430,42.836789,-0.142913,7.282,1.71437,2.92211,2
