--------------------------------------------------------------------------------   Column Units Label  Explanations--------------------------------------------------------------------------------   1 -- SSTGLMC GLIMPSE source ID.2 deg Glon Galactic Longitude of Glimpse source3 deg Glat Galactic Latitude of Glimpse source4 mag [3.6]G Flux magnitude of source at 3.6 microns.5 mag [4.5]G Flux magnitude of source at 4.5 microns.6 mag [5.8]G Flux magnitude of source at 5.8 microns.7 mag [8.0]G Flux magnitude of source at 8.0 microns.---------------------------------------------------
SSTGLMC,GLon,GLat,[3.6]G,[4.5]G,[5.8]G,[8.0]G
G042.8346-00.2667, 42.8346,-0.2667, 8.97, 6.95, 5.40, 4.39
G042.8634-00.6062, 42.8635,-0.6062,10.98,10.16, 9.63, 9.02
G042.8735-00.1222, 42.8735,-0.1221,11.07,10.50, 9.79, 8.24
G042.8749-00.1048, 42.8749,-0.1048,11.96,10.91,10.08, 9.24
G042.8977+00.5402, 42.8977, 0.5403, 7.94, 6.97, 5.90, 4.61
G042.9155+00.0243, 42.9155, 0.0245,10.74,10.01, 9.29, 8.53
G042.9901-00.4824, 42.9901,-0.4823,10.19, 9.52, 8.88, 8.01
G043.0171+00.6348, 43.0172, 0.6350,11.98,11.10,10.42, 9.50
G043.0209-00.0233, 43.0209,-0.0233,11.29, 9.63, 8.53, 7.44
G043.0377-00.4513, 43.0377,-0.4513, 9.98, 8.51, 7.34, 6.48
G043.0492-00.0677, 43.0492,-0.0676,     ,10.20, 9.52, 8.72
G043.0647+00.2321, 43.0647, 0.2322, 9.92, 9.47, 9.07, 8.27
G043.0743-00.5334, 43.0743,-0.5334,11.38,10.63,10.21, 9.44
G043.0757-00.0781, 43.0758,-0.0781,12.21,10.59, 9.56, 8.90
G043.0885-00.0114, 43.0885,-0.0114,10.03, 8.39, 6.84, 4.89
G043.0923-00.4036, 43.0923,-0.4036,10.43, 9.37, 8.47, 7.62
G043.1014+00.0305, 43.1014, 0.0306,10.03, 9.47, 9.04, 8.40
G043.1017-00.0373, 43.1017,-0.0372, 9.78, 8.75, 7.87, 7.06
G043.1194+00.3681, 43.1194, 0.3682, 8.34, 6.77, 5.49, 4.55
G043.1202+00.5687, 43.1202, 0.5688, 8.21, 7.52, 6.59, 5.39
G043.1280+00.8202, 43.1280, 0.8203,11.37,10.57, 9.89, 9.20
G043.1566-00.5162, 43.1566,-0.5161, 8.46, 7.13, 5.96, 5.11
G043.1582-00.0922, 43.1583,-0.0922,12.17,10.73, 9.53, 8.51
G043.2096+00.0425, 43.2096, 0.0427, 9.86, 9.12, 8.55, 8.03
G043.2096+00.7795, 43.2096, 0.7796, 9.47, 8.90, 8.12, 6.78
G043.2455-00.3180, 43.2455,-0.3180, 7.66, 7.19, 6.59, 6.02
G043.2550+00.0334, 43.2550, 0.0335,13.17,12.41,     , 8.97
G043.2563-00.4508, 43.2563,-0.4507,10.52, 9.62, 8.90, 8.25
G043.2788+00.8128, 43.2788, 0.8129,11.20,10.55,10.16, 9.18
G043.3019-00.8960, 43.3019,-0.8959,     , 9.24, 8.75, 8.13
G043.3262-00.2027, 43.3262,-0.2027,11.71, 9.23, 8.34, 7.87
G043.3685-00.6777, 43.3685,-0.6777, 9.82, 9.01, 8.33, 7.52
G043.3747-00.6849, 43.3747,-0.6849, 7.88, 6.87, 6.06, 5.38
G043.4202-00.3508, 43.4202,-0.3508,10.92, 9.78, 8.80, 8.09
G043.4327+00.0476, 43.4326, 0.0477,11.16,10.58, 9.99, 9.23
G043.4485+00.0914, 43.4485, 0.0915,10.88, 9.52, 8.38, 7.65
G043.4703+00.4987, 43.4703, 0.4988,12.25,11.18,10.33, 9.26
G043.4929+00.7571, 43.4929, 0.7572, 7.46, 6.69, 6.05, 5.65
G043.4960+00.5743, 43.4960, 0.5744,10.14, 8.75,     , 6.63
G043.5297+00.0248, 43.5297, 0.0249,10.49, 9.52, 8.78, 8.26
G043.5483+00.2764, 43.5483, 0.2765,10.63,10.22, 9.65, 9.12
G043.5541-00.1599, 43.5541,-0.1599,11.86,10.63, 9.28, 7.74
G043.5629-00.3991, 43.5629,-0.3990,13.23,11.49,10.23, 9.45
G043.5703+00.7799, 43.5703, 0.7800, 8.23, 7.19, 6.21, 5.20
G043.5794+00.0260, 43.5794, 0.0262,11.54,10.39, 9.00, 7.24
G043.5865-00.0927, 43.5866,-0.0927,     ,10.99, 9.97, 9.11
G043.5904+00.5200, 43.5904, 0.5201,11.65,11.07,10.42, 9.48
G043.5913-00.3992, 43.5913,-0.3992,12.75,12.31,11.14, 9.00
G043.5962+00.2909, 43.5962, 0.2910, 7.89, 7.32, 6.51, 5.45
G043.5982-00.0214, 43.5982,-0.0214,11.68,10.56, 9.81, 9.12
G043.6003+00.5811, 43.6003, 0.5812,11.13,10.63,10.17, 9.44
