--------------------------------------------------------------------------------Column Units Label  Explanations--------------------------------------------------------------------------------   1 – SOURCE_ID Hi-GAL clump ID2 Jy S70 Integrated flux in the 70 microns band (Jansky)3 Jy S160 Integrated flux in the 160 microns band (Jansky)4 Jy S250 Integrated flux in the 250 microns band (Jansky)5 Jy S350 Integrated flux in the 350 microns band (Jansky)6 Jy S500 Integrated flux in the 500 microns band (Jansky)7 arcsec FW70_1 Full width at half maximum in major axis, 70 microns image.8 arcsec FW70_2 Full width at half maximum in minor axis, 70 microns image.9 arcsec FW160_1 Full width at half maximum in major axis, 160 microns image.10 arcsec FW160_2 Full width at half maximum in minor axis, 160 microns image.11 arcsec FW250_1 Full width at half maximum in major axis, 250 microns image.12 arcsec FW250_2 Full width at half maximum in minor axis, 250 microns image.13 arcsec FW350_1 Full width at half maximum in major axis, 350 microns image.14 arcsec FW350_2 Full width at half maximum in minor axis, 350 microns image.15 arcsec FW500_1 Full width at half maximum in major axis, 500 microns image.16 arcsec FW500_2 Full width at half maximum in minor axis, 500 microns image.17 deg PA70 Position angle of ellipse defined in 70 microns image.18 deg PA160 Position angle of ellipse defined in 160 microns image.19 deg PA250 Position angle of ellipse defined in 250 microns image.20 deg PA350 Position angle of ellipse defined in 350 microns image.21 deg PA500 Position angle of ellipse defined in 500 microns image.--------------------------------------------------------------------------------
SOURCE_ID,S70,S160,S250,S350,S500,FW70_1,FW70_2,FW160_1,FW160_2,FW250_1,FW250_2,FW350_1,FW350_2,FW500_1,FW500_2,PA70,PA160,PA250,PA350,PA500
178149,2.759,3.629,1.182,0.0,0.0,11.9,17.9,20.8,29.2,17.9,27.2,0.0,0.0,0.0,0.0,62.3,8.9,12.4,0.0,0.0
178150,0.0,0.0,0.0,1.832,2.066,0.0,0.0,0.0,0.0,0.0,0.0,56.1,28.8,124.5,42.0,0.0,0.0,0.0,-13.5,-197.5
178151,0.0,0.0,1.435,0.0,0.0,0.0,0.0,0.0,0.0,22.5,34.8,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0
178152,0.0,2.414,2.768,1.684,1.476,0.0,0.0,21.9,16.4,21.3,21.8,28.0,37.0,65.8,42.4,0.0,51.2,2.6,-30.7,62.0
178153,0.0,1.247,0.0,0.0,0.0,0.0,0.0,17.5,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0
178154,0.0,0.0,4.551,3.467,0.0,0.0,0.0,0.0,0.0,35.7,24.8,52.5,30.3,0.0,0.0,0.0,0.0,-219.5,-50.4,0.0
178155,0.0,4.261,3.938,0.0,0.0,0.0,0.0,30.1,16.3,21.4,29.9,0.0,0.0,0.0,0.0,0.0,-37.2,-314.9,0.0,0.0
178156,0.0,0.0,0.627,0.0,1.156,0.0,0.0,0.0,0.0,17.1,39.1,0.0,0.0,59.3,65.8,0.0,0.0,27.2,0.0,-6.5
178157,0.0,0.0,1.483,0.517,0.0,0.0,0.0,0.0,0.0,32.7,26.1,33.0,29.7,0.0,0.0,0.0,0.0,-13.4,14.1,0.0
178158,0.0,0.677,3.064,1.68,0.785,0.0,0.0,19.9,16.9,38.6,27.3,43.6,36.9,53.5,42.1,0.0,-35.1,-21.0,-31.2,-349.9
178159,0.0,0.0,9.045,5.329,1.805,0.0,0.0,0.0,0.0,45.4,32.1,39.8,56.2,58.9,41.5,0.0,0.0,-215.0,52.4,-203.1
178160,0.0,0.645,1.289,1.047,0.0,0.0,0.0,14.6,11.5,27.0,17.9,27.5,30.6,0.0,0.0,0.0,-289.4,-238.7,-0.9,0.0
178161,0.0,4.474,0.0,0.0,0.0,0.0,0.0,39.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.3,0.0,0.0,0.0
178162,0.0,1.165,0.0,0.0,0.0,0.0,0.0,13.9,24.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.3,0.0,0.0,0.0
178163,0.0,0.0,0.389,0.0,0.0,0.0,0.0,0.0,0.0,22.1,31.6,0.0,0.0,0.0,0.0,0.0,0.0,-43.3,0.0,0.0
178164,0.0,0.467,0.0,1.302,1.371,0.0,0.0,13.1,20.9,0.0,0.0,47.5,24.5,43.1,61.7,0.0,29.9,0.0,118.6,19.8
178165,6.012,6.75,4.73,0.0,0.0,9.7,8.2,14.6,12.4,25.8,19.6,0.0,0.0,0.0,0.0,31.3,-149.3,-116.3,0.0,0.0
178166,0.0,0.0,0.362,0.0,0.0,0.0,0.0,0.0,0.0,24.9,17.0,0.0,0.0,0.0,0.0,0.0,0.0,-296.6,0.0,0.0
178167,0.0,0.0,0.768,0.0,0.0,0.0,0.0,0.0,0.0,23.9,25.8,0.0,0.0,0.0,0.0,0.0,0.0,-324.4,0.0,0.0
178168,0.0,1.386,0.0,0.0,0.0,0.0,0.0,19.2,17.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-268.2,0.0,0.0,0.0
178169,0.366,0.768,0.0,0.0,0.0,9.4,8.2,14.3,10.9,0.0,0.0,0.0,0.0,0.0,0.0,26.8,123.8,0.0,0.0,0.0
178170,0.0,2.875,0.0,0.0,0.0,0.0,0.0,26.8,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-183.9,0.0,0.0,0.0
178171,0.0,2.54,5.334,2.073,0.0,0.0,0.0,35.0,17.7,26.4,41.2,31.5,40.4,0.0,0.0,0.0,-241.1,34.6,44.7,0.0
178172,0.0,0.0,2.629,0.0,0.0,0.0,0.0,0.0,0.0,39.2,27.3,0.0,0.0,0.0,0.0,0.0,0.0,110.3,0.0,0.0
178173,0.0,2.194,0.0,0.0,0.0,0.0,0.0,21.6,26.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.2,0.0,0.0,0.0
178174,0.0,1.532,2.037,0.0,0.0,0.0,0.0,21.7,16.7,28.0,29.9,0.0,0.0,0.0,0.0,0.0,-132.2,320.2,0.0,0.0
178175,0.0,0.0,4.07,2.011,2.243,0.0,0.0,0.0,0.0,40.3,30.6,51.4,37.0,71.0,61.4,0.0,0.0,54.5,60.0,-2.1
178176,0.0,0.0,0.603,0.0,0.0,0.0,0.0,0.0,0.0,20.5,30.8,0.0,0.0,0.0,0.0,0.0,0.0,-233.7,0.0,0.0
178177,0.0,1.497,0.0,0.0,0.0,0.0,0.0,11.9,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-238.7,0.0,0.0,0.0
178178,0.0,3.033,0.0,0.0,0.0,0.0,0.0,11.7,28.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.9,0.0,0.0,0.0
178179,0.0,0.0,2.776,0.0,0.0,0.0,0.0,0.0,0.0,41.0,24.2,0.0,0.0,0.0,0.0,0.0,0.0,115.4,0.0,0.0
178180,0.0,1.362,0.0,0.0,0.0,0.0,0.0,21.5,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-127.1,0.0,0.0,0.0
178181,0.0,0.5,4.622,3.906,1.293,0.0,0.0,12.8,10.9,40.7,25.0,52.5,35.1,42.0,54.9,0.0,40.0,-193.8,-19.4,91.6
178182,0.0,0.0,1.232,0.0,0.0,0.0,0.0,0.0,0.0,36.5,27.0,0.0,0.0,0.0,0.0,0.0,0.0,-79.2,0.0,0.0
178183,0.0,0.0,3.863,1.635,0.793,0.0,0.0,0.0,0.0,37.7,27.0,33.6,39.9,41.9,51.5,0.0,0.0,-1.6,116.4,-0.2
178184,0.0,0.0,0.0,1.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8,59.6,0.0,0.0,0.0,0.0,0.0,60.1,0.0
178185,0.0,0.292,0.0,0.0,0.0,0.0,0.0,37.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.6,0.0,0.0,0.0
178186,0.0,1.969,2.732,0.667,0.0,0.0,0.0,16.0,24.7,24.1,32.0,33.5,25.6,0.0,0.0,0.0,30.0,38.5,-225.9,0.0
178187,0.0,3.31,5.141,6.392,4.444,0.0,0.0,27.3,21.1,23.5,27.0,44.3,46.7,89.4,43.7,0.0,87.0,-18.6,96.6,23.0
178188,0.0,1.715,0.0,0.0,0.0,0.0,0.0,20.3,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.5,0.0,0.0,0.0
